high,low,open,close,volume,hour
131.5,130.36,131.21,131.45,4233.0013552699975,9
131.69,130.64,131.41,131.0,3486.326047129997,10
131.0,123.13,131.0,125.53,33194.58980224995,11
125.69,124.0,125.51,125.23,6568.800520250008,12
125.25,124.26,125.18,124.83,3312.6195697399926,13
127.33,122.0,124.84,127.08,17417.200265279997,14
128.45,126.53,127.08,127.26,9512.379673929994,15
127.72,126.84,127.25,127.06,4640.727442229995,16
127.07,125.45,126.87,127.0,5361.854476140001,17
127.38,126.28,126.96,126.4,1938.70037405,18
128.98,124.54,126.3,128.66,10499.04908761,19
128.76,127.16,128.72,127.18,2349.462169260001,20
127.53,126.19,127.38,126.94,1348.1508064900002,21
127.25,126.35,126.59,126.82,2017.7039847799995,22
127.18,125.8,127.0,126.73,1680.894189729999,23
127.39,126.45,126.75,127.15,1331.9656549200001,0
127.77,126.66,127.15,127.74,1397.6553818299994,1
128.17,127.3,127.94,127.7,1164.1810864200002,2
128.11,126.71,128.1,127.02,1358.7320993200005,3
127.28,124.62,126.92,125.08,2436.4519445599985,4
125.74,120.71,125.08,123.55,6118.546329470003,5
124.34,122.28,123.48,124.3,5292.012602369999,6
124.13,123.01,124.07,123.72,1940.6961975400004,7
123.92,122.4,123.6,122.62,2846.70473905,8
126.68,122.35,122.42,126.3,15093.426551329989,9
128.0,124.9,126.25,124.9,8497.464795910008,10
126.8,125.0,125.0,125.98,4919.674110220009,11
127.65,125.66,125.91,126.84,6545.562875539998,12
126.94,126.1,126.84,126.42,4483.055354540001,13
126.56,125.45,126.42,125.65,2173.6810698599993,14
126.46,124.0,125.44,124.94,5855.306968889997,15
126.83,124.65,124.8,125.25,6776.9806014700025,16
125.38,123.44,125.29,123.86,3886.446151199999,17
126.0,123.0,123.88,125.92,8254.497646940004,18
126.4,125.24,125.97,125.51,2196.2006589799967,19
125.78,124.75,125.59,125.23,2554.104873059999,20
125.73,124.41,125.39,125.73,1781.0650490700004,21
127.14,125.32,125.6,126.62,2123.716059539999,22
126.39,125.79,126.39,125.9,1897.6083439199997,23
126.79,125.89,125.9,126.5,971.0233771099998,0
126.48,125.33,126.48,125.46,1723.3574054199998,1
125.96,125.28,125.5,125.62,735.7756705699999,2
126.12,125.0,125.8,125.03,4315.896433929997,3
125.55,124.85,125.09,125.4,480.90368269000004,4
126.41,125.45,125.45,125.71,1584.2167868500003,5
125.95,125.24,125.78,125.4,1326.1638886000003,6
127.0,123.62,125.4,125.69,5520.112013799996,7
125.79,124.94,125.68,125.76,3315.43460868,8
126.43,125.71,125.76,126.26,4238.228068379997,9
126.2,125.5,126.15,125.73,988.94533498,10
